,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
530,2,2,1,1,1,2,2,1,0,8
531,0,0,0,0,0,0,0,0,0,4
532,0,0,0,0,1,0,0,0,0,0
533,2,0,0,0,1,0,0,0,0,1
534,2,1,0,0,1,0,0,0,0,7
535,2,1,0,0,1,0,0,2,0,3
536,2,1,0,1,1,0,0,2,0,5
537,2,1,0,1,1,2,0,2,0,2
538,2,1,1,1,1,2,0,2,0,6
539,2,1,1,1,1,2,2,2,0,8
540,0,0,0,0,0,0,0,0,0,0
541,1,0,0,0,0,0,0,0,0,4
542,1,0,0,0,2,0,0,0,0,2
543,1,0,1,0,2,0,0,0,0,1
544,1,2,1,0,2,0,0,0,0,3
545,1,2,1,1,2,0,0,0,0,6
546,1,2,1,1,2,0,2,0,0,7
547,1,2,1,1,2,0,2,1,0,5
548,1,2,1,1,2,2,2,1,0,8
549,0,0,0,0,0,0,0,0,0,0
550,1,0,0,0,0,0,0,0,0,4
551,1,0,0,0,2,0,0,0,0,2
552,1,0,1,0,2,0,0,0,0,1
553,1,2,1,0,2,0,0,0,0,3
554,1,2,1,1,2,0,0,0,0,6
555,1,2,1,1,2,0,2,0,0,7
556,1,2,1,1,2,0,2,1,0,5
557,1,2,1,1,2,2,2,1,0,8
558,0,0,0,0,0,0,0,0,0,4
559,0,0,0,0,1,0,0,0,0,0
560,2,0,0,0,1,0,0,0,0,1
561,2,1,0,0,1,0,0,0,0,7
562,2,1,0,0,1,0,0,2,0,3
563,2,1,0,1,1,0,0,2,0,5
564,2,1,0,1,1,2,0,2,0,2
565,2,1,1,1,1,2,0,2,0,6
566,2,1,1,1,1,2,2,2,0,8
567,0,0,0,0,0,0,0,0,0,4
568,0,0,0,0,1,0,0,0,0,0
569,2,0,0,0,1,0,0,0,0,3
570,2,0,0,1,1,0,0,0,0,5
571,2,0,0,1,1,2,0,0,0,2
572,2,0,1,1,1,2,0,0,0,6
573,2,0,1,1,1,2,2,0,0,7
574,2,0,1,1,1,2,2,1,0,1
575,2,2,1,1,1,2,2,1,0,8
576,0,0,0,0,0,0,0,0,0,4
577,0,0,0,0,1,0,0,0,0,0
578,2,0,0,0,1,0,0,0,0,3
579,2,0,0,1,1,0,0,0,0,5
580,2,0,0,1,1,2,0,0,0,2
581,2,0,1,1,1,2,0,0,0,6
582,2,0,1,1,1,2,2,0,0,1
583,2,1,1,1,1,2,2,0,0,7
584,2,1,1,1,1,2,2,2,0,8
585,0,0,0,0,0,0,0,0,0,0
586,1,0,0,0,0,0,0,0,0,4
587,1,0,0,0,2,0,0,0,0,2
588,1,0,1,0,2,0,0,0,0,1
589,1,2,1,0,2,0,0,0,0,3
590,1,2,1,1,2,0,0,0,0,6
591,1,2,1,1,2,0,2,0,0,7
592,1,2,1,1,2,0,2,1,0,8
593,1,2,1,1,2,0,2,1,2,5
594,0,0,0,0,0,0,0,0,0,0
595,1,0,0,0,0,0,0,0,0,4
596,1,0,0,0,2,0,0,0,0,6
597,1,0,0,0,2,0,1,0,0,3
598,1,0,0,2,2,0,1,0,0,1
599,1,1,0,2,2,0,1,0,0,2
600,1,1,2,2,2,0,1,0,0,5
601,1,1,2,2,2,1,1,0,0,8
602,1,1,2,2,2,1,1,0,2,7
603,0,0,0,0,0,0,0,0,0,4
604,0,0,0,0,1,0,0,0,0,0
605,2,0,0,0,1,0,0,0,0,1
606,2,1,0,0,1,0,0,0,0,7
607,2,1,0,0,1,0,0,2,0,3
608,2,1,0,1,1,0,0,2,0,5
609,2,1,0,1,1,2,0,2,0,6
610,2,1,0,1,1,2,1,2,0,2
611,2,1,2,1,1,2,1,2,0,8
612,0,0,0,0,0,0,0,0,0,4
613,0,0,0,0,1,0,0,0,0,0
614,2,0,0,0,1,0,0,0,0,1
615,2,1,0,0,1,0,0,0,0,7
616,2,1,0,0,1,0,0,2,0,3
617,2,1,0,1,1,0,0,2,0,5
618,2,1,0,1,1,2,0,2,0,6
619,2,1,0,1,1,2,1,2,0,2
620,2,1,2,1,1,2,1,2,0,8
621,0,0,0,0,0,0,0,0,0,0
